name,cuisines,area,timing,ishomedelivery,istakeaway,isindoorseating,isvegonly,dinner_ratings,dinner_reviews,delivery_ratings,delivery_reviews,populardishes,averagecost
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",7am – 11pm (Today),1,1,1,1,4.0,462,4.1,16000,"Filtered Coffee, Sambhar, Pav Bhaji, Gobi Manchurian",450
Meghana Foods,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",Opens at 6:30pm,1,1,1,0,4.3,1654,4.3,28600,"Authentic Hyderabadi Biryani, Paneer Biryani, Panner Tikka, Chicken 65, Lemon Chicken, Mutton Biriyani",700
Donne Biriyani House,Biryani,"Indiranagar, Bangalore",11am – 11pm (Today),1,1,1,0,3.9,411,3.5,33200,Not Available,300
Domino's Pizza,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",10:57am – 12midnight (Today),1,1,1,0,2.4,422,4.4,8205,"Barbeque Chicken Pizza, Choco Lava Cake, White Sauce Pasta, Pizzas",400
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),1,1,1,0,2.8,673,4.0,9148,"Fiery Chicken, Chicken Popcorn, Rice Bowl, Wings",400
The Congee Concept,South Indian,"Ulsoor, Bangalore",Not Available,1,0,0,0,-,0,4.5,239,Not Available,100
Burger King,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",9am – 2am (Today),1,1,1,0,4.1,1499,4.1,22400,"Crispy Spicy Chicken, Chilly Burger, Thick Mango Shake, Strawberry Sundae, Mutton Patty, Whooper Burger",400
McDonald's,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",9:30am – 1:30am (Today),1,1,1,0,3.8,500,4.1,7508,"Mcspicy Chicken, Mcspicy Paneer, Maharaja Mac, Peri Peri Fries, Burgers, Coffee",400
Mani's Dum Biryani,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",11am – 11:45pm (Today),1,1,1,0,4.2,708,4.1,12700,"Paneer Fry, Chicken 65, Egg Biryani, Mutton Biryani, Starter",800
Madras Meal Company,South Indian,"Thippasandra, Bangalore",Not Available,1,0,0,0,-,0,4.0,2958,"Tamilnadu Style, South Indian Meals, Gulab Jamun, Raita, Kabab, Chicken Biryani",150
ZAZA 22 Spice Biryani,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,3.8,447,Not Available,200
New Alameen Restaurant,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",9am – 1am (Today),1,1,1,0,3.7,226,3.7,9101,Not Available,300
Ovenstory Pizza,"Pizza, Desserts","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,4.3,3902,Not Available,250
Biryani Trip,"Hyderabadi, Biryani","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,4.0,70,Not Available,250
FreshMenu,"Continental, North Indian, Biryani","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,3.7,29100,"Chicken Honey, Chicken Salad, Spaghetti, Salads, Chocolate Cake, Hot Chocolate",200
BOX8 - Desi Meals,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 1am (Today),1,1,0,0,-,0,4.2,16000,"Rich Chocolate Brownie, Choco Lava Cake, Chole, Wraps, Iced Tea, Dal Makhni",200
Nagarjuna,"Andhra, Biryani, North Indian","Indiranagar, Bangalore","11:30am – 3:45pm, 6pm – 10:45pm (Today)",1,1,1,0,4.3,2323,4.1,455,"Vada Curry, Sweet Lime, Dal Palak, Mutton Masala, Chicken Roast, Mutton Pepper Fry",800
Natural Ice Cream,"Ice Cream, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),1,1,1,1,4.8,1145,4.6,1345,"Coffee Walnut, Sitaphal Ice Cream, Custard Apple, Tender Coconut Ice Cream, Kala Jamun, Waffle Cone",300
Bucket Biryani,"Biryani, Kebab","Brigade Road, Bangalore",11am – 10:54pm (Today),1,1,1,0,3.1,6,4.2,492,Not Available,1000
Rotti Walla,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,3.9,8835,Not Available,100
Green Pepper,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese","Jeevan Bhima Nagar, Bangalore",Not Available,1,1,1,0,4.0,335,4.0,10300,"Roasted Beef, Idiyappam, Kerala Parotta, Stew, Fish Curry, Sea Food",600
Punjabi Dhaba,"North Indian, Mughlai, Chinese","Indiranagar, Bangalore",24 Hours (Today),1,1,1,0,3.8,6,3.4,1216,Not Available,500
Burma Burma,"Salad, Burmese, Asian, Tea, Beverages","Indiranagar, Bangalore",Opens at 6:30pm,1,1,1,0,4.9,2899,4.4,1123,"Honey Caviar, Durian Ice Cream, Samosa Soup, Peach Juice, Khau Suey, Peanut Salad",1500
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",9am – 4am (Today),1,1,1,0,3.8,857,3.8,5213,"Chicken Crunch Pizza, Stuffed Crust Pizza, Triple Chicken, Masala Soda, Cheesy Garlic Bread, Veg Pizza",400
Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Indiranagar, Bangalore",7am – 11pm (Today),1,1,1,0,4.2,563,4.2,21200,"Teriyaki Chicken Burger, Falafel Salad, Peri Fries, Peri Peri Chicken, Wraps, Chocolate Mousse",400
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Indiranagar, Bangalore","12midnight – 3am, 10am – 12midnight (Today)",1,1,1,0,4.4,5683,3.8,1814,"Gourmet Style Pizza, Fish Cilantro, Unlimited Pizza Buffet, Double Chocolate Cookie, Caramel Chocolate, Tandoori Panner",500
Paakashala,"South Indian, North Indian, Chinese, Juices, Beverages, Shake","Indiranagar, Bangalore",7am – 10:30pm (Today),1,1,1,1,4.0,92,4.0,1375,Not Available,400
M.M.A Kabab and Rolls,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani","Old Madras Road, Bangalore",11am – 3am (Today),1,1,1,0,2.7,114,3.7,5348,Not Available,500
Ayodhya Vihar Pure Veg,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake","Jeevan Bhima Nagar, Bangalore",7am – 10pm (Today),1,1,1,1,3.4,36,4.1,4607,Not Available,450
Red Kitchen,"North Indian, Andhra, Chinese, Seafood, Mughlai, Biryani","Jeevan Bhima Nagar, Bangalore","12midnight – 1am, 11am – 12midnight (Today)",1,1,1,0,3.1,114,3.4,7398,Not Available,350
Nandhana Palace,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages","Indiranagar, Bangalore",Opens at 6:30pm,1,1,1,0,4.3,1417,4.1,6051,"Drumstick Soup, Bamboo Chicken, Fish Tawa Fry, Fried Rice Chicken, Plain Rice, Lemon Chicken",800
A2B - Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food, Ice Cream, Beverages, North Indian, Chinese","Indiranagar, Bangalore",7am – 10:30pm (Today),1,1,1,0,2.8,610,3.9,3851,"Filtered Coffee, Kesari Bath, Chutneys, Pav Bhaji, Idli, Sweets",800
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages","Jeevan Bhima Nagar, Bangalore",Not Available,1,0,0,0,-,0,4.2,10400,"Veg Thaali, Brinjal Curry, South Indian Meals, Papad, Spicy Food, Sambar",200
Nandhini Deluxe,"Andhra, Biryani, Chinese, North Indian, Mughlai, Desserts, Beverages","Frazer Town, Bangalore",11am – 11:30pm (Today),1,1,1,0,3.8,459,4.0,4988,"Nati Chicken Biryani, Andhra Chicken, Chicken Guntur, Murgh Ghee Roast, Chicken 65, Chilli Chicken",700
Kanti Sweets,"Mithai, Street Food, Desserts","Thippasandra, Bangalore",9am – 9:30pm (Today),1,1,0,0,-,0,4.1,1362,Not Available,50
Dindigul Thalappakatti,"Biryani, North Indian, South Indian, Chinese, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),1,1,1,0,4.2,722,3.8,5687,"Mutton Varuval, Liver Fry, Mutton Sukka, Mutton Pepper, Pepper Chicken, Biryani Rice",400
Five Star Chicken,"Wraps, Burger, Rolls, Fast Food, Street Food","KR Puram, Bangalore",11am – 11pm (Today),1,1,0,0,-,0,3.9,609,Not Available,100
Kritunga Restaurant,"Andhra, Biryani, North Indian","Marathahalli, Bangalore",Opens at 6:30pm,1,1,1,0,4.0,1699,3.8,19000,"Natukodi Pulusu, Bamboo Chicken, Hyderabadi Chicken Curry, Ragi Mudde, Spicy Food, Briyani",800
Donne Biriyani House,"Biryani, Fast Food","Shanti Nagar, Bangalore",Opens at 6:30pm,1,1,1,0,3.4,7,3.9,925,Not Available,400
Kabab Magic,"North Indian, Kebab, Hyderabadi, Beverages","Richmond Road, Bangalore",12:30pm – 11:30pm (Today),1,1,1,0,3.8,139,3.3,2743,Not Available,400
Polar Bear,"Ice Cream, Beverages, Shake","Thippasandra, Bangalore",11am – 1am (Today),1,1,1,0,3.7,43,4.3,970,Not Available,350
Biriyani Zone,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","CV Raman Nagar, Bangalore",Opens at 6:30pm,1,1,1,0,3.6,67,4.0,2559,Not Available,800
Paradise Biryani,"Biryani, North Indian, Kebab","HSR, Bangalore",11am – 11pm (Today),1,1,1,0,3.7,326,3.8,4583,Not Available,700
Hyderabad Biryaani House,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese","Old Airport Road, Bangalore",11:30am – 11pm (Today),1,1,1,0,4.2,1416,4.0,25100,"Authentic Hyderabadi Biryani, Chicken Dum Biryani, Egg Biryani, Mutton Biriyani, Spicy Food, Kebabs",500
Anand Sweets And Savouries,"Mithai, Street Food, Desserts, Beverages","Old Airport Road, Bangalore",10am – 9:30pm (Today),1,1,1,0,4.0,277,4.4,3068,"Kaju Katli, Mysore Pak, Dahi Puri, Rasmalai, Jalebi, Sweets",300
Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Indiranagar, Bangalore",10:30am – 10:20pm (Today),1,1,1,0,2.0,311,3.6,1741,Not Available,400
Sri Udupi Food Hub,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages","Domlur, Bangalore",Not Available,1,1,1,1,3.7,151,3.9,16200,Not Available,800
Corner House Ice Creams,"Desserts, Ice Cream, Beverages","Indiranagar, Bangalore",11am – 11:30pm (Today),1,1,1,0,4.8,2408,4.5,16100,"Thick Chocolate Shake, Brown Bomb, Cashew Fudge, Almond Fudge, Choco Bomb, Brownie Fudge Sundae",300
Behrouz Biryani,"Biryani, Mughlai","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,3.9,3663,"Paneer Subz Biryani, Gulab Jamun, Raita, Briyani, Chicken Biryani",350
MOJO Pizza - 2X Toppings,"Pizza, Fast Food, Desserts, Beverages","Indiranagar, Bangalore",11am – 1am (Today),1,1,0,0,-,0,4.3,8486,Not Available,250
EatFit,"Mithai, North Indian, Pizza, Burger, Fast Food, Street Food, Desserts, Beverages","Indiranagar, Bangalore",Not Available,1,0,0,0,-,0,4.0,76500,"Fruit Bowl, Guava Juice, Veg Hakka Noodles, Noodle, Dal Makhani, Thali",200
Amma's Pastries,Bakery,"Indiranagar, Bangalore",8am – 10pm (Today),1,1,0,0,-,0,4.4,551,Not Available,100
Sharief Bhai,"Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages","Indiranagar, Bangalore",11:30am – 12midnight (Today),1,1,1,0,3.9,159,3.9,5537,Not Available,800
Beijing Bites,"Chinese, Thai, Seafood, Healthy Food","Indiranagar, Bangalore",Opens at 7pm,1,1,1,0,3.2,22,4.0,456,Not Available,800
